sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
6842;SDS011;3460;52.028;8.916;2020-08-23T02:38:32;3.80;;;1.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T02:41:04;3.33;;;1.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T02:43:34;3.27;;;1.13;;
6842;SDS011;3460;52.028;8.916;2020-08-23T02:46:05;3.23;;;1.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T02:48:39;4.47;;;1.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T02:51:14;4.73;;;1.13;;
6842;SDS011;3460;52.028;8.916;2020-08-23T02:53:45;3.97;;;1.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T02:56:17;5.03;;;1.33;;
6842;SDS011;3460;52.028;8.916;2020-08-23T02:58:45;4.07;;;1.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:01:14;6.87;;;1.43;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:03:46;4.40;;;1.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:06:16;5.30;;;1.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:08:43;4.10;;;1.33;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:11:19;2.67;;;1.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:13:48;3.73;;;1.17;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:16:18;5.67;;;1.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:18:54;3.00;;;1.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:21:32;4.77;;;1.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:24:06;3.93;;;1.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:26:38;4.43;;;1.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:29:07;2.83;;;1.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:31:42;4.13;;;1.27;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:34:30;4.60;;;1.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:37:02;3.33;;;1.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:39:29;3.90;;;1.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:41:56;3.83;;;1.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:44:22;4.00;;;1.13;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:46:50;3.33;;;1.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:49:38;3.17;;;1.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:52:08;2.63;;;1.13;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:54:38;5.33;;;1.53;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:57:09;6.87;;;1.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T03:59:40;3.53;;;1.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:02:09;4.90;;;1.23;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:04:38;8.53;;;1.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:07:07;5.03;;;1.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:09:37;4.80;;;1.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:12:07;2.40;;;1.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:14:41;2.93;;;1.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:17:09;5.07;;;1.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:19:44;4.30;;;1.57;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:22:14;5.13;;;1.33;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:24:49;5.13;;;1.80;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:27:20;4.13;;;1.47;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:29:52;6.17;;;1.70;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:32:22;4.97;;;1.53;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:34:48;4.93;;;1.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:37:16;4.13;;;1.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:39:44;6.13;;;1.70;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:42:14;6.77;;;1.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:44:49;4.37;;;1.60;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:47:20;5.23;;;1.77;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:49:50;5.17;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:52:22;5.57;;;1.70;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:54:54;4.27;;;1.60;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:57:24;4.80;;;1.70;;
6842;SDS011;3460;52.028;8.916;2020-08-23T04:59:55;6.40;;;1.70;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:02:24;5.10;;;2.07;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:04:56;4.20;;;1.60;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:07:26;4.57;;;1.70;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:09:56;5.13;;;1.67;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:12:27;4.87;;;1.57;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:14:59;5.10;;;2.07;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:17:30;4.97;;;2.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:19:59;4.40;;;1.70;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:22:27;3.07;;;1.47;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:24:56;6.13;;;1.80;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:27:28;8.60;;;1.77;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:30:04;11.33;;;2.03;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:32:33;5.80;;;1.80;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:35:02;5.27;;;1.53;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:37:32;3.17;;;1.63;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:40:04;4.83;;;1.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:42:34;4.73;;;1.77;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:45:07;4.13;;;1.53;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:47:38;7.63;;;2.17;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:50:07;5.77;;;2.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:52:38;5.47;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:55:07;5.73;;;1.73;;
6842;SDS011;3460;52.028;8.916;2020-08-23T05:57:38;7.27;;;2.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:00:11;6.33;;;1.83;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:02:44;3.57;;;2.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:05:20;6.33;;;2.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:07:56;4.13;;;2.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:10:24;7.87;;;2.03;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:12:56;7.37;;;2.07;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:15:28;6.30;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:17:59;8.37;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:20:33;8.63;;;2.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:23:02;7.30;;;2.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:25:33;9.53;;;2.47;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:28:07;7.60;;;2.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:30:39;5.77;;;1.70;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:33:11;6.87;;;1.93;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:35:43;5.63;;;1.70;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:38:17;8.33;;;2.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:40:50;5.40;;;1.87;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:43:21;6.37;;;2.17;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:45:52;5.67;;;2.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:48:22;5.73;;;1.47;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:50:55;4.40;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:53:26;5.63;;;1.87;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:55:54;4.07;;;1.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T06:58:25;3.47;;;1.60;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:00:58;9.03;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:06:18;3.73;;;1.63;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:08:49;5.07;;;1.73;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:11:16;6.60;;;1.80;;
6842;SDS011;3460;52.028;8.916;2020-08-23T07:13:44;4.27;;;1.67;;
